Age,Population,Year,District
　０～４歳,"19,480",1955 ,鶴見区
　５～９,"23,928",1955 ,鶴見区
　10～14,"19,847",1955 ,鶴見区
　15～19,"18,634",1955 ,鶴見区
　20～24,"22,413",1955 ,鶴見区
　25～29,"21,782",1955 ,鶴見区
　30～34,"16,300",1955 ,鶴見区
　35～39,"13,475",1955 ,鶴見区
　40～44,"12,334",1955 ,鶴見区
　45～49,"9,520",1955 ,鶴見区
　50～54,"7,854",1955 ,鶴見区
　55～59,"5,740",1955 ,鶴見区
　60～64,"4,028",1955 ,鶴見区
　65～69,"2,786",1955 ,鶴見区
　70～74,"1,582",1955 ,鶴見区
　75～79,874,1955 ,鶴見区
　80～84,335,1955 ,鶴見区
　85～89,89,1955 ,鶴見区
　90～94,19,1955 ,鶴見区
　95～99,2,1955 ,鶴見区
　100歳以上,-,1955 ,鶴見区
　０～４歳,"18,730",1960 ,鶴見区
　５～９,"18,217",1960 ,鶴見区
　10～14,"23,060",1960 ,鶴見区
　15～19,"27,376",1960 ,鶴見区
　20～24,"27,900",1960 ,鶴見区
　25～29,"25,947",1960 ,鶴見区
　30～34,"20,841",1960 ,鶴見区
　35～39,"15,420",1960 ,鶴見区
　40～44,"12,705",1960 ,鶴見区
　45～49,"11,639",1960 ,鶴見区
　50～54,"8,947",1960 ,鶴見区
　55～59,"7,131",1960 ,鶴見区
　60～64,"5,137",1960 ,鶴見区
　65～69,"3,464",1960 ,鶴見区
　70～74,"2,194",1960 ,鶴見区
　75～79,"1,053",1960 ,鶴見区
　80～84,456,1960 ,鶴見区
　85～89,124,1960 ,鶴見区
　90～94,33,1960 ,鶴見区
　95～99,3,1960 ,鶴見区
　100歳以上,-,1960 ,鶴見区
　０～４歳,"22,326",1965 ,鶴見区
　５～９,"17,036",1965 ,鶴見区
　10～14,"17,360",1965 ,鶴見区
　15～19,"29,142",1965 ,鶴見区
　20～24,"34,820",1965 ,鶴見区
　25～29,"30,542",1965 ,鶴見区
　30～34,"24,532",1965 ,鶴見区
　35～39,"19,354",1965 ,鶴見区
　40～44,"14,269",1965 ,鶴見区
　45～49,"11,959",1965 ,鶴見区
　50～54,"10,696",1965 ,鶴見区
　55～59,"8,072",1965 ,鶴見区
　60～64,"6,244",1965 ,鶴見区
　65～69,"4,382",1965 ,鶴見区
　70～74,"2,704",1965 ,鶴見区
　75～79,"1,483",1965 ,鶴見区
　80～84,589,1965 ,鶴見区
　85～89,190,1965 ,鶴見区
　90～94,52,1965 ,鶴見区
　95～99,3,1965 ,鶴見区
　100歳以上,-,1965 ,鶴見区
　０～４歳,"23,000",1970 ,鶴見区
　５～９,"17,810",1970 ,鶴見区
　10～14,"14,671",1970 ,鶴見区
　15～19,"23,426",1970 ,鶴見区
　20～24,"34,846",1970 ,鶴見区
　25～29,"30,746",1970 ,鶴見区
　30～34,"23,440",1970 ,鶴見区
　35～39,"20,229",1970 ,鶴見区
　40～44,"16,441",1970 ,鶴見区
　45～49,"12,940",1970 ,鶴見区
　50～54,"10,847",1970 ,鶴見区
　55～59,"9,344",1970 ,鶴見区
　60～64,"7,015",1970 ,鶴見区
　65～69,"5,220",1970 ,鶴見区
　70～74,"3,365",1970 ,鶴見区
　75～79,"1,856",1970 ,鶴見区
　80～84,830,1970 ,鶴見区
　85～89,256,1970 ,鶴見区
　90～94,71,1970 ,鶴見区
　95～99,7,1970 ,鶴見区
　100歳以上,-,1970 ,鶴見区
　０～４歳,"21,133",1975 ,鶴見区
　５～９,"17,359",1975 ,鶴見区
　10～14,"14,893",1975 ,鶴見区
　15～19,"16,759",1975 ,鶴見区
　20～24,"25,935",1975 ,鶴見区
　25～29,"28,901",1975 ,鶴見区
　30～34,"23,166",1975 ,鶴見区
　35～39,"18,511",1975 ,鶴見区
　40～44,"17,263",1975 ,鶴見区
　45～49,"14,924",1975 ,鶴見区
　50～54,"11,661",1975 ,鶴見区
　55～59,"9,600",1975 ,鶴見区
　60～64,"8,373",1975 ,鶴見区
　65～69,"5,978",1975 ,鶴見区
　70～74,"4,185",1975 ,鶴見区
　75～79,"2,418",1975 ,鶴見区
　80～84,"1,050",1975 ,鶴見区
　85～89,396,1975 ,鶴見区
　90～94,77,1975 ,鶴見区
　95～99,12,1975 ,鶴見区
　100歳以上,1,1975 ,鶴見区
　０～４歳,"15,779 ",1980 ,鶴見区
　５～９,"17,378 ",1980 ,鶴見区
　10～14,"15,336 ",1980 ,鶴見区
　15～19,"16,283 ",1980 ,鶴見区
　20～24,"19,123 ",1980 ,鶴見区
　25～29,"21,945 ",1980 ,鶴見区
　30～34,"23,704 ",1980 ,鶴見区
　35～39,"19,328 ",1980 ,鶴見区
　40～44,"16,230 ",1980 ,鶴見区
　45～49,"15,705 ",1980 ,鶴見区
　50～54,"13,795 ",1980 ,鶴見区
　55～59,"10,603 ",1980 ,鶴見区
　60～64,"8,433 ",1980 ,鶴見区
　65～69,"7,256 ",1980 ,鶴見区
　70～74,"4,927 ",1980 ,鶴見区
　75～79,"3,151 ",1980 ,鶴見区
　80～84,"1,609 ",1980 ,鶴見区
　85～89,485 ,1980 ,鶴見区
　90～94,139 ,1980 ,鶴見区
　95～99,16 ,1980 ,鶴見区
　100歳以上,0 ,1980 ,鶴見区
　０～４歳,"14,262 ",1985 ,鶴見区
　５～９,"14,241 ",1985 ,鶴見区
　10～14,"16,381 ",1985 ,鶴見区
　15～19,"16,970 ",1985 ,鶴見区
　20～24,"20,498 ",1985 ,鶴見区
　25～29,"18,607 ",1985 ,鶴見区
　30～34,"20,038 ",1985 ,鶴見区
　35～39,"22,118 ",1985 ,鶴見区
　40～44,"18,658 ",1985 ,鶴見区
　45～49,"16,022 ",1985 ,鶴見区
　50～54,"15,307 ",1985 ,鶴見区
　55～59,"13,029 ",1985 ,鶴見区
　60～64,"9,725 ",1985 ,鶴見区
　65～69,"7,589 ",1985 ,鶴見区
　70～74,"6,281 ",1985 ,鶴見区
　75～79,"3,914 ",1985 ,鶴見区
　80～84,"2,184 ",1985 ,鶴見区
　85～89,855 ,1985 ,鶴見区
　90～94,185 ,1985 ,鶴見区
　95～99,30 ,1985 ,鶴見区
　100歳以上,0 ,1985 ,鶴見区
　０～４歳,"13,348",1990 ,鶴見区
　５～９,"13,341",1990 ,鶴見区
　10～14,"13,663",1990 ,鶴見区
　15～19,"18,307",1990 ,鶴見区
　20～24,"21,920",1990 ,鶴見区
　25～29,"21,745",1990 ,鶴見区
　30～34,"18,220",1990 ,鶴見区
　35～39,"18,882",1990 ,鶴見区
　40～44,"21,653",1990 ,鶴見区
　45～49,"18,600",1990 ,鶴見区
　50～54,"16,021",1990 ,鶴見区
　55～59,"14,729",1990 ,鶴見区
　60～64,"12,030",1990 ,鶴見区
　65～69,"8,801",1990 ,鶴見区
　70～74,"6,583",1990 ,鶴見区
　75～79,"5,169",1990 ,鶴見区
　80～84,"2,739",1990 ,鶴見区
　85～89,"1,267",1990 ,鶴見区
　90～94,331,1990 ,鶴見区
　95～99,47,1990 ,鶴見区
　100歳以上,4,1990 ,鶴見区
　０～４歳,"11,890",1995 ,鶴見区
　５～９,"11,599",1995 ,鶴見区
　10～14,"12,296",1995 ,鶴見区
　15～19,"14,646",1995 ,鶴見区
　20～24,"22,970",1995 ,鶴見区
　25～29,"23,371",1995 ,鶴見区
