"","Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Nett Price($)","Unit Price ($ psm)","Unit Price ($ psf)","Sale Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","country","city"
"1","LA CASA","68 Woodlands Drive 16  #10-38",1,119,"Strata",998000,"-",8387,779,"29-SEP-2020","Executive Condominium","99 Yrs From 13/09/2004","2008","Resale","HDB","25","73","737892","North Region","Woodlands","Singapore","Singapore"
"2","THE PANORAMA","16 Ang Mo Kio Avenue 2  #03-27",1,44,"Strata",685000,"-",15568,1446,"29-SEP-2020","Condominium","99 Yrs From 08/04/2013","2017","Resale","Private","20","56","567699","North East Region","Ang Mo Kio","Singapore","Singapore"
"3","WATERFRONT GOLD","750 Bedok Reservoir Road  #09-02",1,137,"Strata",1738000,"-",12686,1179,"29-SEP-2020","Condominium","99 Yrs From 26/11/2009","2014","Resale","Private","16","47","479256","East Region","Bedok","Singapore","Singapore"
"4","THE RAINTREE","93 Bukit Drive  #05-28",1,147,"Strata",1650000,"-",11224,1043,"29-SEP-2020","Condominium","99 Yrs From 01/03/2003","2008","Resale","Private","21","58","587844","West Region","Bukit Panjang","Singapore","Singapore"
"5","WATERBANK AT DAKOTA","70 Dakota Crescent  #16-02",1,82,"Strata",1520000,"-",18537,1722,"29-SEP-2020","Condominium","99 Yrs From 07/12/2009","2013","Resale","HDB","14","39","399941","Central Region","Geylang","Singapore","Singapore"
"6","SUITES @ EASTCOAST","171 Upper East Coast Road  #02-02",1,84,"Strata",1090000,"-",12976,1206,"29-SEP-2020","Condominium","Freehold","2012","Resale","Private","15","45","455273","East Region","Bedok","Singapore","Singapore"
"7","CARIBBEAN AT KEPPEL BAY","18 Keppel Bay Drive  #04-24",1,82,"Strata",1450000,"-",17683,1643,"29-SEP-2020","Condominium","99 Yrs From 16/08/1999","2004","Resale","Private","04","09","098644","Central Region","Bukit Merah","Singapore","Singapore"
"8","TRELLIS TOWERS","700 Lorong 1 Toa Payoh  #23-09",1,138,"Strata",2240000,"-",16232,1508,"29-SEP-2020","Condominium","Freehold","2000","Resale","Private","12","31","319773","Central Region","Toa Payoh","Singapore","Singapore"
"9","RIVERPARC RESIDENCE","100 Punggol Drive  #11-23",1,100,"Strata",1018000,"-",10180,946,"29-SEP-2020","Executive Condominium","99 Yrs From 27/12/2010","2014","Resale","HDB","19","82","828799","North East Region","Punggol","Singapore","Singapore"
"10","DOUBLE BAY RESIDENCES","19B Simei Street 4  #06-25",1,127,"Strata",1530000,"-",12047,1119,"29-SEP-2020","Condominium","99 Yrs From 07/04/2008","2012","Resale","Private","18","52","528714","East Region","Tampines","Singapore","Singapore"
"11","THE SANTORINI","21 Tampines Street 86  #13-11",1,43,"Strata",598000,"-",13907,1292,"29-SEP-2020","Condominium","99 Yrs From 16/10/2013","2017","Resale","Private","18","52","528592","East Region","Tampines","Singapore","Singapore"
"12","GRAND CHATEAU","2 Jalan Rajawali  #08-06",1,100,"Strata",1230000,"-",12300,1143,"29-SEP-2020","Condominium","Freehold","1996","Resale","Private","21","59","598435","Central Region","Bukit Timah","Singapore","Singapore"
"13","PAVILION 11","25 Akyab Road  #15-07",1,138,"Strata",2350000,"-",17029,1582,"28-SEP-2020","Condominium","Freehold","2009","Resale","Private","11","30","309979","Central Region","Novena","Singapore","Singapore"
"14","EASTERN LAGOON","214 Upper East Coast Road  #04-02",1,70,"Strata",850000,"-",12143,1128,"28-SEP-2020","Condominium","Freehold","1985","Resale","HDB","16","46","466402","East Region","Bedok","Singapore","Singapore"
"15","THE PANORAMA","16 Ang Mo Kio Avenue 2  #07-25",1,93,"Strata",1538000,"-",16538,1536,"28-SEP-2020","Condominium","99 Yrs From 08/04/2013","2017","Resale","Private","20","56","567699","North East Region","Ang Mo Kio","Singapore","Singapore"
"16","ARCHIPELAGO","511 Bedok Reservoir Road  #04-44",1,110,"Strata",1440000,"-",13091,1216,"28-SEP-2020","Condominium","99 Yrs From 01/06/2011","2015","Resale","HDB","16","47","479272","East Region","Bedok","Singapore","Singapore"
"17","WATERFRONT ISLE","732 Bedok Reservoir Road  #05-09",1,85,"Strata",1030000,"-",12118,1126,"28-SEP-2020","Condominium","99 Yrs From 26/11/2009","2015","Resale","HDB","16","47","479262","East Region","Bedok","Singapore","Singapore"
"18","CLOVER BY THE PARK","2 Bishan Street 25  #16-07",1,120,"Strata",1720000,"-",14333,1332,"28-SEP-2020","Condominium","99 Yrs From 10/09/2007","2011","Resale","HDB","20","57","573973","Central Region","Bishan","Singapore","Singapore"
"19","REGENT HEIGHTS","52 Bukit Batok East Avenue 5  #21-06",1,108,"Strata",865000,"-",8009,744,"28-SEP-2020","Condominium","99 Yrs From 07/11/1995","1999","Resale","Private","23","65","659802","West Region","Bukit Batok","Singapore","Singapore"
"20","1 CANBERRA","11 Canberra Drive  #01-21",1,143,"Strata",1100000,"-",7692,715,"28-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768071","North Region","Yishun","Singapore","Singapore"
"21","1 CANBERRA","13 Canberra Drive  #10-28",1,97,"Strata",980000,"-",10103,939,"28-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768072","North Region","Yishun","Singapore","Singapore"
"22","1 CANBERRA","5 Canberra Drive  #12-09",1,98,"Strata",960000,"-",9796,910,"28-SEP-2020","Executive Condominium","99 Yrs From 30/01/2012","2015","Resale","HDB","27","76","768103","North Region","Yishun","Singapore","Singapore"
"23","CANBERRA RESIDENCES","501 Canberra Drive  #04-05",1,84,"Strata",821000,"-",9774,908,"28-SEP-2020","Condominium","99 Yrs From 08/09/2010","2013","Resale","HDB","27","76","768124","North Region","Sembawang","Singapore","Singapore"
"24","REGENT GROVE","52 Choa Chu Kang North 7  #08-29",1,109,"Strata",780000,"-",7156,665,"28-SEP-2020","Condominium","99 Yrs From 17/05/1997","2000","Resale","HDB","23","68","689528","West Region","Choa Chu Kang","Singapore","Singapore"
"25","6 DERBYSHIRE","6 Derbyshire Road  #14-04",1,48,"Strata",936000,"-",19500,1812,"28-SEP-2020","Condominium","Freehold","2017","Resale","Private","11","30","309462","Central Region","Novena","Singapore","Singapore"
"26","EDELWEISS PARK CONDOMINIUM","86 Flora Road  #03-20",1,119,"Strata",1025000,"-",8613,800,"28-SEP-2020","Condominium","Freehold","2006","Resale","Private","17","50","507002","East Region","Pasir Ris","Singapore","Singapore"
"27","KINGSFORD . HILLVIEW PEAK","101 Hillview Rise  #13-03",1,77,"Strata",1120000,"-",14545,1351,"28-SEP-2020","Condominium","99 Yrs From 04/06/2012","2017","Resale","Private","23","66","667981","West Region","Bukit Batok","Singapore","Singapore"
"28","THE FLORIDA","76 Hougang Avenue 7  #10-23",1,129,"Strata",1e+06,"-",7752,720,"28-SEP-2020","Executive Condominium","99 Yrs From 16/12/1997","2000","Resale","HDB","19","53","538807","North East Region","Hougang","Singapore","Singapore"
"29","SUMMERHILL","50 Hume Avenue  #02-09",1,149,"Strata",2050000,"-",13758,1278,"28-SEP-2020","Condominium","Freehold","2002","Resale","HDB","21","59","596229","West Region","Bukit Batok","Singapore","Singapore"
"30","EUPHONY GARDENS","5 Jalan Mata Ayer  #04-25",1,88,"Strata",696000,"-",7909,735,"28-SEP-2020","Condominium","99 Yrs From 25/02/1998","2001","Resale","HDB","27","75","759151","North Region","Mandai","Singapore","Singapore"
"31","SAGE","11A Nassim Road  #01-03",1,325,"Strata",1e+07,"-",30769,2859,"28-SEP-2020","Condominium","Freehold","2012","Resale","Private","10","25","258379","Central Region","Tanglin","Singapore","Singapore"
"32","PARC CENTROS","86 Punggol Central  #12-14",1,106,"Strata",1320000,"-",12453,1157,"28-SEP-2020","Condominium","99 Yrs From 19/03/2012","2016","Resale","HDB","19","82","828720","North East Region","Punggol","Singapore","Singapore"
"33","TWIN WATERFALLS","112 Punggol Walk  #09-25",1,85,"Strata",938000,"-",11035,1025,"28-SEP-2020","Executive Condominium","99 Yrs From 05/10/2011","2015","Resale","HDB","19","82","828766","North East Region","Punggol","Singapore","Singapore"
"34","COSTA RHU","5 Rhu Cross  #02-10",1,194,"Strata",3080000,"-",15876,1475,"28-SEP-2020","Condominium","99 Yrs From 30/05/1994","1997","Resale","Private","15","43","437434","Central Region","Kallang","Singapore","Singapore"
