,Unnamed:_0,Project_Name,Address,No._of_Units,Area_(sqm),Type_of_Area,Transacted_Price_($),Nett_Price($),Unit_Price_($_psm),Unit_Price_($_psf),Sale_Date,Property_Type,Tenure,Completion_Date,Type_of_Sale,Purchaser_Address_Indicator,Postal_District,Postal_Sector,Postal_Code,Planning_Region,Planning_Area,country,city,full_address,gcode,address,room_num,lat,long
0,1,LA CASA,68 Woodlands Drive 16  #10-38,1,119,Strata,998000.0,-,8387,779,29-SEP-2020,Executive Condominium,99 Yrs From 13/09/2004,2008,Resale,HDB,25,73,737892,North Region,Woodlands,Singapore,Singapore,"68 Woodlands Drive 16  ,Singapore","Woodlands Drive 16, Woodlands, Northwest, 730573, Singapore",68 Woodlands Drive 16  ,10-38,1.4316825,103.7975763
1,2,THE PANORAMA,16 Ang Mo Kio Avenue 2  #03-27,1,44,Strata,685000.0,-,15568,1446,29-SEP-2020,Condominium,99 Yrs From 08/04/2013,2017,Resale,Private,20,56,567699,North East Region,Ang Mo Kio,Singapore,Singapore,"16 Ang Mo Kio Avenue 2  ,Singapore","Ang Mo Kio Avenue 2, Ang Mo Kio, Singapore, Central, 569405, Singapore",16 Ang Mo Kio Avenue 2  ,03-27,1.3752097,103.8334072
2,3,WATERFRONT GOLD,750 Bedok Reservoir Road  #09-02,1,137,Strata,1738000.0,-,12686,1179,29-SEP-2020,Condominium,99 Yrs From 26/11/2009,2014,Resale,Private,16,47,479256,East Region,Bedok,Singapore,Singapore,"750 Bedok Reservoir Road  ,Singapore","750, Bedok Reservoir Road, Simpang Bedok, Bedok, Northeast, 479256, Singapore",750 Bedok Reservoir Road  ,09-02,1.33853525,103.92851930536659
3,4,THE RAINTREE,93 Bukit Drive  #05-28,1,147,Strata,1650000.0,-,11224,1043,29-SEP-2020,Condominium,99 Yrs From 01/03/2003,2008,Resale,Private,21,58,587844,West Region,Bukit Panjang,Singapore,Singapore,"93 Bukit Drive  ,Singapore","Bukit Drive, Bukit Panjang, Northwest, 587976, Singapore",93 Bukit Drive  ,05-28,1.3482864,103.7749203
4,5,WATERBANK AT DAKOTA,70 Dakota Crescent  #16-02,1,82,Strata,1520000.0,-,18537,1722,29-SEP-2020,Condominium,99 Yrs From 07/12/2009,2013,Resale,HDB,14,39,399941,Central Region,Geylang,Singapore,Singapore,"70 Dakota Crescent  ,Singapore","Waterbank, 70, Dakota Crescent, Marine Parade, Southeast, 399941, Singapore",70 Dakota Crescent  ,16-02,1.30664605,103.88810993889598
5,6,SUITES @ EASTCOAST,171 Upper East Coast Road  #02-02,1,84,Strata,1090000.0,-,12976,1206,29-SEP-2020,Condominium,Freehold,2012,Resale,Private,15,45,455273,East Region,Bedok,Singapore,Singapore,"171 Upper East Coast Road  ,Singapore","Upper East Coast Road, Simpang Bedok, Bedok, Southeast, 466608, Singapore",171 Upper East Coast Road  ,02-02,1.3193295,103.9550995
6,7,CARIBBEAN AT KEPPEL BAY,18 Keppel Bay Drive  #04-24,1,82,Strata,1450000.0,-,17683,1643,29-SEP-2020,Condominium,99 Yrs From 16/08/1999,2004,Resale,Private,4,9,98644,Central Region,Bukit Merah,Singapore,Singapore,"18 Keppel Bay Drive  ,Singapore","18, Keppel Bay Drive, Radin Mas, Bukit Merah, Singapore, Central, 098632, Singapore",18 Keppel Bay Drive  ,04-24,1.26589215,103.81598093589116
7,8,TRELLIS TOWERS,700 Lorong 1 Toa Payoh  #23-09,1,138,Strata,2240000.0,-,16232,1508,29-SEP-2020,Condominium,Freehold,2000,Resale,Private,12,31,319773,Central Region,Toa Payoh,Singapore,Singapore,"700 Lorong 1 Toa Payoh  ,Singapore","Lorong 1 Toa Payoh, Toa Payoh, Singapore, Central, 310128, Singapore",700 Lorong 1 Toa Payoh  ,23-09,1.3396879,103.8442682
8,9,RIVERPARC RESIDENCE,100 Punggol Drive  #11-23,1,100,Strata,1018000.0,-,10180,946,29-SEP-2020,Executive Condominium,99 Yrs From 27/12/2010,2014,Resale,HDB,19,82,828799,North East Region,Punggol,Singapore,Singapore,"100 Punggol Drive  ,Singapore","River Parc, 100, Punggol Drive, Punggol, Northeast, 820100, Singapore",100 Punggol Drive  ,11-23,1.3978394,103.91736854617665
9,10,DOUBLE BAY RESIDENCES,19B Simei Street 4  #06-25,1,127,Strata,1530000.0,-,12047,1119,29-SEP-2020,Condominium,99 Yrs From 07/04/2008,2012,Resale,Private,18,52,528714,East Region,Tampines,Singapore,Singapore,"19B Simei Street 4  ,Singapore","Simei Street 4, Tampines, Southeast, 520225, Singapore",19B Simei Street 4  ,06-25,1.3421941,103.9581393
10,11,THE SANTORINI,21 Tampines Street 86  #13-11,1,43,Strata,598000.0,-,13907,1292,29-SEP-2020,Condominium,99 Yrs From 16/10/2013,2017,Resale,Private,18,52,528592,East Region,Tampines,Singapore,Singapore,"21 Tampines Street 86  ,Singapore","Tampines Street 86, Tampines, Northeast, 521870, Singapore",21 Tampines Street 86  ,13-11,1.3559648,103.9312944
