"","month","town","flat_type","block","street_name","storey_range","floor_area_sqm","flat_model","lease_commence_date","remaining_lease","resale_price","unit_price","full_address"
"1","2020-01","ANG MO KIO","3 ROOM","208","ANG MO KIO AVE 1","04 TO 06",73,"New Generation",1976,"55 years 07 months",265000,3630.13698630137,"208 ANG MO KIO AVE 1 Singapore"
"2","2020-01","ANG MO KIO","3 ROOM","307C","ANG MO KIO AVE 1","19 TO 21",70,"Model A",2012,"91 years 08 months",470000,6714.28571428571,"307C ANG MO KIO AVE 1 Singapore"
"3","2020-01","ANG MO KIO","3 ROOM","319","ANG MO KIO AVE 1","01 TO 03",73,"New Generation",1977,"56 years 04 months",230000,3150.68493150685,"319 ANG MO KIO AVE 1 Singapore"
"4","2020-01","ANG MO KIO","3 ROOM","216","ANG MO KIO AVE 1","04 TO 06",73,"New Generation",1976,"55 years 03 months",280000,3835.61643835616,"216 ANG MO KIO AVE 1 Singapore"
"5","2020-01","ANG MO KIO","3 ROOM","556","ANG MO KIO AVE 10","07 TO 09",68,"New Generation",1980,"59 years 01 month",220000,3235.29411764706,"556 ANG MO KIO AVE 10 Singapore"
"6","2020-01","ANG MO KIO","3 ROOM","536","ANG MO KIO AVE 10","10 TO 12",68,"New Generation",1980,"59 years 01 month",280000,4117.64705882353,"536 ANG MO KIO AVE 10 Singapore"
"7","2020-01","ANG MO KIO","3 ROOM","560","ANG MO KIO AVE 10","04 TO 06",67,"New Generation",1980,"59 years 01 month",240000,3582.08955223881,"560 ANG MO KIO AVE 10 Singapore"
"8","2020-01","ANG MO KIO","3 ROOM","463","ANG MO KIO AVE 10","04 TO 06",82,"New Generation",1980,"59 years 02 months",301000,3670.73170731707,"463 ANG MO KIO AVE 10 Singapore"
"9","2020-01","ANG MO KIO","3 ROOM","476","ANG MO KIO AVE 10","01 TO 03",67,"New Generation",1979,"58 years 07 months",255000,3805.97014925373,"476 ANG MO KIO AVE 10 Singapore"
"10","2020-01","ANG MO KIO","3 ROOM","442","ANG MO KIO AVE 10","01 TO 03",67,"New Generation",1979,"58 years 07 months",233000,3477.61194029851,"442 ANG MO KIO AVE 10 Singapore"
"11","2020-01","ANG MO KIO","3 ROOM","578","ANG MO KIO AVE 10","07 TO 09",67,"New Generation",1980,"59 years",250000,3731.34328358209,"578 ANG MO KIO AVE 10 Singapore"
"12","2020-01","ANG MO KIO","3 ROOM","442","ANG MO KIO AVE 10","04 TO 06",67,"New Generation",1979,"58 years 07 months",245000,3656.71641791045,"442 ANG MO KIO AVE 10 Singapore"
"13","2020-01","ANG MO KIO","3 ROOM","445","ANG MO KIO AVE 10","01 TO 03",67,"New Generation",1979,"58 years 07 months",255000,3805.97014925373,"445 ANG MO KIO AVE 10 Singapore"
"14","2020-01","ANG MO KIO","3 ROOM","435","ANG MO KIO AVE 10","04 TO 06",67,"New Generation",1979,"58 years",288000,4298.50746268657,"435 ANG MO KIO AVE 10 Singapore"
"15","2020-01","ANG MO KIO","3 ROOM","442","ANG MO KIO AVE 10","01 TO 03",67,"New Generation",1979,"58 years 07 months",235000,3507.46268656716,"442 ANG MO KIO AVE 10 Singapore"
"16","2020-01","ANG MO KIO","3 ROOM","466","ANG MO KIO AVE 10","07 TO 09",67,"New Generation",1984,"63 years 08 months",268000,4000,"466 ANG MO KIO AVE 10 Singapore"
"17","2020-01","ANG MO KIO","3 ROOM","570","ANG MO KIO AVE 3","04 TO 06",67,"New Generation",1979,"58 years 05 months",240000,3582.08955223881,"570 ANG MO KIO AVE 3 Singapore"
"18","2020-01","ANG MO KIO","3 ROOM","345","ANG MO KIO AVE 3","04 TO 06",88,"New Generation",1978,"57 years 04 months",320000,3636.36363636364,"345 ANG MO KIO AVE 3 Singapore"
"19","2020-01","ANG MO KIO","3 ROOM","213","ANG MO KIO AVE 3","04 TO 06",67,"New Generation",1976,"55 years 03 months",250000,3731.34328358209,"213 ANG MO KIO AVE 3 Singapore"
"20","2020-01","ANG MO KIO","3 ROOM","126","ANG MO KIO AVE 3","01 TO 03",67,"New Generation",1978,"57 years 09 months",250000,3731.34328358209,"126 ANG MO KIO AVE 3 Singapore"
"21","2020-01","ANG MO KIO","3 ROOM","587","ANG MO KIO AVE 3","01 TO 03",67,"New Generation",1979,"58 years 05 months",265000,3955.22388059702,"587 ANG MO KIO AVE 3 Singapore"
"22","2020-01","ANG MO KIO","3 ROOM","121","ANG MO KIO AVE 3","10 TO 12",67,"New Generation",1978,"57 years 09 months",3e+05,4477.61194029851,"121 ANG MO KIO AVE 3 Singapore"
"23","2020-01","ANG MO KIO","3 ROOM","345","ANG MO KIO AVE 3","04 TO 06",73,"New Generation",1978,"57 years 03 months",320000,4383.56164383562,"345 ANG MO KIO AVE 3 Singapore"
"24","2020-01","ANG MO KIO","3 ROOM","212","ANG MO KIO AVE 3","10 TO 12",67,"New Generation",1977,"56 years 03 months",255000,3805.97014925373,"212 ANG MO KIO AVE 3 Singapore"
"25","2020-01","ANG MO KIO","3 ROOM","301","ANG MO KIO AVE 3","04 TO 06",88,"New Generation",1978,"57 years 02 months",355000,4034.09090909091,"301 ANG MO KIO AVE 3 Singapore"
"26","2020-01","ANG MO KIO","3 ROOM","120","ANG MO KIO AVE 3","04 TO 06",67,"New Generation",1978,"57 years 09 months",270000,4029.85074626866,"120 ANG MO KIO AVE 3 Singapore"
"27","2020-01","ANG MO KIO","3 ROOM","121","ANG MO KIO AVE 3","04 TO 06",67,"New Generation",1978,"57 years 09 months",283000,4223.88059701493,"121 ANG MO KIO AVE 3 Singapore"
"28","2020-01","ANG MO KIO","3 ROOM","121","ANG MO KIO AVE 3","01 TO 03",67,"New Generation",1978,"57 years 09 months",245000,3656.71641791045,"121 ANG MO KIO AVE 3 Singapore"
"29","2020-01","ANG MO KIO","3 ROOM","256","ANG MO KIO AVE 4","01 TO 03",73,"New Generation",1977,"56 years 07 months",255000,3493.15068493151,"256 ANG MO KIO AVE 4 Singapore"
"30","2020-01","ANG MO KIO","3 ROOM","644","ANG MO KIO AVE 4","07 TO 09",75,"New Generation",1980,"59 years 10 months",308000,4106.66666666667,"644 ANG MO KIO AVE 4 Singapore"
"31","2020-01","ANG MO KIO","3 ROOM","178","ANG MO KIO AVE 4","04 TO 06",82,"New Generation",1981,"60 years 04 months",302500,3689.0243902439,"178 ANG MO KIO AVE 4 Singapore"
"32","2020-01","ANG MO KIO","3 ROOM","629","ANG MO KIO AVE 4","01 TO 03",68,"New Generation",1981,"60 years 09 months",250000,3676.47058823529,"629 ANG MO KIO AVE 4 Singapore"
"33","2020-01","ANG MO KIO","3 ROOM","155","ANG MO KIO AVE 4","04 TO 06",82,"New Generation",1981,"60 years 04 months",362000,4414.63414634146,"155 ANG MO KIO AVE 4 Singapore"
"34","2020-01","ANG MO KIO","3 ROOM","502","ANG MO KIO AVE 5","04 TO 06",82,"New Generation",1981,"60 years 01 month",340000,4146.34146341463,"502 ANG MO KIO AVE 5 Singapore"
"35","2020-01","ANG MO KIO","3 ROOM","154","ANG MO KIO AVE 5","07 TO 09",68,"New Generation",1981,"60 years 01 month",278000,4088.23529411765,"154 ANG MO KIO AVE 5 Singapore"
"36","2020-01","ANG MO KIO","3 ROOM","601","ANG MO KIO AVE 5","07 TO 09",67,"New Generation",1980,"59 years 06 months",280000,4179.10447761194,"601 ANG MO KIO AVE 5 Singapore"
"37","2020-01","ANG MO KIO","3 ROOM","535","ANG MO KIO AVE 5","07 TO 09",67,"New Generation",1980,"59 years 01 month",246100,3673.13432835821,"535 ANG MO KIO AVE 5 Singapore"
"38","2020-01","ANG MO KIO","3 ROOM","181","ANG MO KIO AVE 5","07 TO 09",68,"New Generation",1981,"60 years 03 months",245000,3602.94117647059,"181 ANG MO KIO AVE 5 Singapore"
"39","2020-01","ANG MO KIO","3 ROOM","535","ANG MO KIO AVE 5","07 TO 09",67,"New Generation",1980,"59 years 01 month",318000,4746.26865671642,"535 ANG MO KIO AVE 5 Singapore"
