,Unnamed: 0,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,unit_price,full_address,gcode,lat,long
0,1,2020-01,ANG MO KIO,3 ROOM,208,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,55 years 07 months,265000.0,3630.13698630137,208 ANG MO KIO AVE 1 Singapore,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.3649414,103.8402957
1,2,2020-01,ANG MO KIO,3 ROOM,307C,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,91 years 08 months,470000.0,6714.28571428571,307C ANG MO KIO AVE 1 Singapore,"307C, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 807999, Singapore",1.3655819,103.84518262960606
2,3,2020-01,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1977,56 years 04 months,230000.0,3150.68493150685,319 ANG MO KIO AVE 1 Singapore,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.3649414,103.8402957
3,4,2020-01,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,04 TO 06,73.0,New Generation,1976,55 years 03 months,280000.0,3835.6164383561604,216 ANG MO KIO AVE 1 Singapore,"Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560218, Singapore",1.3649414,103.8402957
4,5,2020-01,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,07 TO 09,68.0,New Generation,1980,59 years 01 month,220000.0,3235.29411764706,556 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
5,6,2020-01,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,59 years 01 month,280000.0,4117.64705882353,536 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
6,7,2020-01,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1980,59 years 01 month,240000.0,3582.0895522388105,560 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 560417, Singapore",1.3662096,103.8564554
7,8,2020-01,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,82.0,New Generation,1980,59 years 02 months,301000.0,3670.7317073170702,463 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
8,9,2020-01,ANG MO KIO,3 ROOM,476,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,255000.0,3805.9701492537297,476 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
9,10,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,233000.0,3477.61194029851,442 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
10,11,2020-01,ANG MO KIO,3 ROOM,578,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,59 years,250000.0,3731.34328358209,578 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
11,12,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years 07 months,245000.0,3656.7164179104498,442 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
12,13,2020-01,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,255000.0,3805.9701492537297,445 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
13,14,2020-01,ANG MO KIO,3 ROOM,435,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,58 years,288000.0,4298.507462686571,435 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
14,15,2020-01,ANG MO KIO,3 ROOM,442,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 07 months,235000.0,3507.46268656716,442 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
15,16,2020-01,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,63 years 08 months,268000.0,4000.0,466 ANG MO KIO AVE 10 Singapore,"Ang Mo Kio Avenue 10, Ang Mo Kio, Singapore, Central, 561455, Singapore",1.3692468,103.856782
