年（和暦）,年（西暦）,総数［人］,宿泊客［人］,日帰り客［人］
昭和54,1979,12506070,687905,11818165
昭和55,1980,12112376,710234,11402142
昭和56,1981,12869438,768022,12101416
昭和57,1982,13984971,959704,13025267
昭和58,1983,13715357,1009299,12706058
昭和59,1984,14528576,1069666,13458910
昭和60,1985,16068898,1250164,14818734
昭和61,1986,18194162,1487005,16707157
昭和62,1987,20161541,1515880,18645661
昭和63,1988,22062432,1819301,20243131
平成元,1989,40194854,2010783,38184071
平成2,1990,26019660,2113150,23906510
平成3,1991,25830595,2515302,23315293
平成4,1992,25721099,2739259,22981840
平成5,1993,28482995,2878591,25604404
平成6,1994,30581939,3058514,27523425
平成7,1995,29722565,3016533,26706032
平成8,1996,29724620,3099908,26624712
平成9,1997,29765532,3179610,26585922
平成10,1998,28504473,3311689,25192784
平成11,1999,34175021,3556309,30618712
平成12,2000,33824968,3729686,30095282
平成13,2001,33783609,3947338,29836271
平成14,2002,34536281,4124049,30412232
平成15,2003,34664831,4135251,30529580
平成16,2004,38907354,4371981,34535373
平成17,2005,39939052,4547068,35391984
平成18,2006,39955991,4570673,35385318
平成19,2007,41071588,4685790,36385798
平成20,2008,42532170,5134032,37398138
平成21,2009,54280941,4907486,49373455
平成22,2010,41965403,4820450,37144953
平成23,2011,36100539,4711653,31388886
平成24,2012,42432204,5335688,37096516
平成25,2013,45659080,6119746,39539334
平成26,2014,44257834,6352828,37905006
平成27,2015,48591922,6659133,41932789
平成28,2016,46017157,6009437,40007720
平成29,2017,51430555,6194026,45236529
平成30,2018,46862937,7338964,39523973
令和元,2019,55823951,7084510,48739441
